Rank,Country Name,Country Code,Region,Income Group,Institutions,Open Markets,Economic Freedom Index
150,Malawi,MWI,Sub-Saharan Africa,Low income,40.21164021164021,18.34215167548501,29.276895943562607
151,Zambia,ZMB,Sub-Saharan Africa,Lower middle income,35.71428571428571,21.869488536155202,28.791887125220455
152,Burkina Faso,BFA,Sub-Saharan Africa,Low income,27.248677248677247,29.62962962962963,28.439153439153436
153,Brazil,BRA,Latin America & Caribbean,Upper middle income,39.682539682539684,16.402116402116402,28.042328042328045
154,Kenya,KEN,Sub-Saharan Africa,Lower middle income,38.09523809523809,15.873015873015873,26.98412698412698
155,Argentina,ARG,Latin America & Caribbean,Upper middle income,45.238095238095234,8.641975308641976,26.940035273368604
156,Nepal,NPL,South Asia,Lower middle income,37.3015873015873,15.873015873015873,26.587301587301585
157,"Congo, Democratic Republic of",COD,Sub-Saharan Africa,Low income,5.026455026455026,47.97178130511463,26.49911816578483
158,Uganda,UGA,Sub-Saharan Africa,Low income,30.158730158730158,22.045855379188712,26.102292768959437
159,Algeria,DZA,Middle East & North Africa,Upper middle income,25.925925925925924,24.162257495590826,25.044091710758373
160,"Congo, Republic of",COG,Sub-Saharan Africa,Lower middle income,10.846560846560847,39.15343915343916,25.000000000000004
161,Myanmar,MMR,East Asia & Pacific,Lower middle income,3.439153439153439,46.2962962962963,24.867724867724867
162,Nigeria,NGA,Sub-Saharan Africa,Lower middle income,23.28042328042328,25.485008818342152,24.382716049382715
163,Guinea,GIN,Sub-Saharan Africa,Lower middle income,14.814814814814813,32.804232804232804,23.80952380952381
164,Mali,MLI,Sub-Saharan Africa,Low income,18.783068783068785,28.571428571428573,23.677248677248677
165,Madagascar,MDG,Sub-Saharan Africa,Low income,23.28042328042328,23.721340388007054,23.500881834215164
166,Liberia,LBR,Sub-Saharan Africa,Low income,20.37037037037037,26.455026455026456,23.41269841269841
167,"Gambia, The",GMB,Sub-Saharan Africa,Low income,32.53968253968254,11.463844797178131,22.001763668430335
168,Niger,NER,Sub-Saharan Africa,Low income,21.428571428571427,21.34038800705467,21.38447971781305
169,Russian Federation,RUS,Europe & Central Asia,High income,12.16931216931217,27.51322751322751,19.84126984126984
170,Central African Republic,CAF,Sub-Saharan Africa,Low income,4.761904761904762,33.686067019400355,19.223985890652557
171,Burundi,BDI,Sub-Saharan Africa,Low income,12.433862433862434,25.749559082892414,19.091710758377424
172,"Egypt, Arab Republic of",EGY,Middle East & North Africa,Lower middle income,30.423280423280424,7.583774250440917,19.00352733686067
173,Sudan,SDN,Sub-Saharan Africa,Low income,2.380952380952381,33.686067019400355,18.033509700176367
174,Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,5.555555555555555,28.74779541446208,17.151675485008816
175,Angola,AGO,Sub-Saharan Africa,Lower middle income,16.137566137566136,17.10758377425044,16.622574955908288
176,"Bolivia, Plurinational State of",BOL,Latin America & Caribbean,Lower middle income,7.4074074074074066,25.5731922398589,16.490299823633155
177,Pakistan,PAK,Middle East & North Africa,Lower middle income,18.253968253968253,14.462081128747792,16.358024691358022
178,Comoros,COM,Sub-Saharan Africa,Lower middle income,11.64021164021164,19.753086419753085,15.696649029982362
